Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
03-07-2019,49.80989057,50.09412736,49.66532321,50.08677673,45448000,0,0,AAPL
05-07-2019,49.82704271,50.25094518,49.71677579,50.04266739,69062000,0,0,AAPL
08-07-2019,49.20465829,49.34922564,48.61658558,49.01108551,101354400,0,0,AAPL
09-07-2019,48.81016664,49.37618756,48.71460471,49.31003189,82312000,0,0,AAPL
10-07-2019,49.4594902,49.92014576,49.38842914,49.79763031,71588400,0,0,AAPL
11-07-2019,49.81724527,50.08187916,49.42519797,49.43499756,80767200,0,0,AAPL
12-07-2019,49.60650723,49.98630589,49.54524951,49.814785,70380800,0,0,AAPL
15-07-2019,50.00836917,50.44452399,49.98631728,50.2828064,67789600,0,0,AAPL
16-07-2019,50.13087757,50.50332563,49.86379475,50.10882568,67467200,0,0,AAPL
17-07-2019,49.99856636,50.2533969,49.80744252,49.82704544,56430000,0,0,AAPL
18-07-2019,49.98631035,50.4469697,49.91280032,50.39306259,74162400,0,0,AAPL
19-07-2019,50.42491397,50.59888758,49.58445967,49.64081573,83717200,0,0,AAPL
22-07-2019,49.90054454,50.77775566,49.89074495,50.7753067,89111600,0,0,AAPL
23-07-2019,51.07915107,51.18941424,50.79246158,51.17226028,73420800,0,0,AAPL
24-07-2019,50.88556906,51.24821377,50.76305361,51.13059998,59966400,0,0,AAPL
25-07-2019,51.18451358,51.27027591,50.65524585,50.72630692,55638400,0,0,AAPL
26-07-2019,50.83901479,51.39033436,50.75570517,50.90272522,70475600,0,0,AAPL
29-07-2019,51.0791442,51.61330978,51.07424253,51.37807846,86693600,0,0,AAPL
30-07-2019,51.15266059,51.49570617,50.79736645,51.15756226,135742800,0,0,AAPL
31-07-2019,53.0295912,54.24249351,51.77503409,52.2013855,277125600,0,0,AAPL
01-08-2019,52.41211203,53.42409092,50.65769349,51.0717926,216071600,0,0,AAPL
02-08-2019,50.36121014,50.58173649,49.40559094,49.99121475,163448400,0,0,AAPL
05-08-2019,48.5136829,48.6754005,47.18806446,47.37428665,209572000,0,0,AAPL
06-08-2019,48.10201953,48.53327634,47.54579829,48.27109146,143299200,0,0,AAPL
07-08-2019,47.88149815,48.89837509,47.49189985,48.77095795,133457600,0,0,AAPL
08-08-2019,49.05519266,49.87114613,48.8567182,49.84664154,108038000,0,0,AAPL
09-08-2019,49.51213398,49.87123627,49.01774813,49.43588638,98478800,0.1925,0,AAPL
12-08-2019,49.09891648,49.69660589,48.98331408,49.31044388,89927600,0,0,AAPL
13-08-2019,49.44326973,52.17836527,49.31044818,51.39866638,188874000,0,0,AAPL
14-08-2019,49.96962351,50.77637829,49.82942342,49.86877823,146189600,0,0,AAPL
15-08-2019,50.0434123,50.45662651,49.11121455,49.62035751,108909600,0,0,AAPL
16-08-2019,50.24510192,50.95347347,50.13687807,50.7911377,110481600,0,0,AAPL
19-08-2019,51.80450135,52.32348118,51.65938471,51.73809433,97654400,0,0,AAPL
20-08-2019,51.86845607,52.47598237,51.73071798,51.74055481,107537200,0,0,AAPL
21-08-2019,52.387434,52.54976603,52.04554706,52.30134583,86141600,0,0,AAPL
22-08-2019,52.4366236,52.74407601,51.8364759,52.25707245,89014800,0,0,AAPL
23-08-2019,51.51180422,52.15622701,49.43834699,49.8417244,187272000,0,0,AAPL
26-08-2019,50.63372001,50.96084981,50.43694973,50.78867722,104174400,0,0,AAPL
27-08-2019,51.12564211,51.29535642,50.0606266,50.2155838,103493200,0,0,AAPL
28-08-2019,50.20082754,50.59928463,50.00897755,50.55255127,63755200,0,0,AAPL
29-08-2019,51.28306525,51.48475584,50.83049617,51.40850449,83962000,0,0,AAPL
30-08-2019,51.69135607,51.76268337,50.96330716,51.34209061,84573600,0,0,AAPL
03-09-2019,50.77391914,50.90919895,50.23034538,50.59436798,80092000,0,0,AAPL
04-09-2019,51.25600376,51.52410135,50.99282646,51.45277405,76752400,0,0,AAPL
05-09-2019,52.14392455,52.62846981,52.02340186,52.45875549,95654800,0,0,AAPL
06-09-2019,52.64815037,52.73915508,52.26936691,52.45383835,77449200,0,0,AAPL
